open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date,month,year
253.0,255.0,252.0,254.0,27556024.0,255.0,252.0,254.0,253.0,32361607.0,1.0,0.0,AAPL,XNAS,17-03-2026,03,2026
252.0,254.0,250.0,253.0,30091880.0,254.0,250.0,253.0,252.0,32074209.0,1.0,0.0,AAPL,XNAS,16-03-2026,03,2026
255.0,256.0,250.0,250.0,34193754.0,256.0,250.0,250.0,255.0,36929988.0,1.0,0.0,AAPL,XNAS,13-03-2026,03,2026
259.0,259.0,254.0,256.0,40132517.0,259.0,254.0,256.0,259.0,40794020.0,1.0,0.0,AAPL,XNAS,12-03-2026,03,2026
261.0,262.0,260.0,261.0,26131800.0,262.0,260.0,261.0,261.0,26218927.0,1.0,0.0,AAPL,XNAS,11-03-2026,03,2026
258.0,262.0,257.0,261.0,26403306.0,262.0,257.0,261.0,258.0,30590765.0,1.0,0.0,AAPL,XNAS,10-03-2026,03,2026
256.0,261.0,254.0,260.0,37958303.0,261.0,254.0,260.0,256.0,38218533.0,1.0,0.0,AAPL,XNAS,09-03-2026,03,2026
259.0,259.0,254.0,257.0,40628988.0,259.0,254.0,257.0,259.0,41120042.0,1.0,0.0,AAPL,XNAS,06-03-2026,03,2026
261.0,262.0,257.0,260.0,49424671.0,262.0,257.0,260.0,261.0,49658626.0,1.0,0.0,AAPL,XNAS,05-03-2026,03,2026
265.0,266.0,261.0,263.0,39258957.0,266.0,261.0,263.0,265.0,39803119.0,1.0,0.0,AAPL,XNAS,04-03-2026,03,2026
263.0,266.0,260.0,264.0,37994695.0,266.0,260.0,264.0,263.0,38568921.0,1.0,0.0,AAPL,XNAS,03-03-2026,03,2026
262.0,267.0,260.0,265.0,41576035.0,267.0,260.0,265.0,262.0,41827946.0,1.0,0.0,AAPL,XNAS,02-03-2026,03,2026
273.0,273.0,263.0,264.0,72239400.0,273.0,263.0,264.0,273.0,72366505.0,1.0,0.0,AAPL,XNAS,27-02-2026,02,2026
275.0,276.0,271.0,273.0,32123760.0,276.0,271.0,273.0,275.0,32345114.0,1.0,0.0,AAPL,XNAS,26-02-2026,02,2026
272.0,275.0,271.0,274.0,33627000.0,275.0,271.0,274.0,272.0,33714342.0,1.0,0.0,AAPL,XNAS,25-02-2026,02,2026
268.0,275.0,268.0,272.0,46710423.0,275.0,268.0,272.0,268.0,47014619.0,1.0,0.0,AAPL,XNAS,24-02-2026,02,2026
263.0,269.0,263.0,266.0,34926242.0,269.0,263.0,266.0,263.0,37308155.0,1.0,0.0,AAPL,XNAS,23-02-2026,02,2026
259.0,265.0,258.0,265.0,36884993.0,265.0,258.0,265.0,259.0,42070499.0,1.0,0.0,AAPL,XNAS,20-02-2026,02,2026
263.0,264.0,260.0,261.0,30716500.0,264.0,260.0,261.0,263.0,30845294.0,1.0,0.0,AAPL,XNAS,19-02-2026,02,2026
264.0,267.0,262.0,264.0,33598417.0,267.0,262.0,264.0,264.0,34203337.0,1.0,0.0,AAPL,XNAS,18-02-2026,02,2026
258.0,266.0,256.0,264.0,58081661.0,266.0,256.0,264.0,258.0,58469094.0,1.0,0.0,AAPL,XNAS,17-02-2026,02,2026
262.0,262.0,255.0,256.0,56229900.0,262.0,255.0,256.0,262.0,56290673.0,1.0,0.0,AAPL,XNAS,13-02-2026,02,2026
276.0,276.0,260.0,262.0,71430852.0,276.0,260.0,262.0,276.0,81077229.0,1.0,0.0,AAPL,XNAS,12-02-2026,02,2026
275.0,280.0,274.0,276.0,51915838.0,280.0,274.0,276.0,275.0,51931283.0,1.0,0.0,AAPL,XNAS,11-02-2026,02,2026
275.0,275.0,273.0,274.0,34311675.0,275.0,273.0,274.0,275.0,34376898.0,1.0,0.0,AAPL,XNAS,10-02-2026,02,2026
278.0,278.0,272.0,275.0,44562300.0,278.0,272.0,275.0,278.0,44623396.0,1.0,0.26,AAPL,XNAS,09-02-2026,02,2026
277.0,281.0,277.0,278.0,50050812.0,281.0,277.0,278.0,277.0,50453414.0,1.0,0.0,AAPL,XNAS,06-02-2026,02,2026
