open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
259.86,260.18,256.66,259.2,35080398.0,260.18,256.66,259.2,259.73,36234698.0,1.0,0.0,AAPL,XNAS,2026-04-13T00:00:00+0000
259.98,262.19,259.02,260.48,31259500.0,262.19,259.023123,260.48,259.98,31291473.0,1.0,0.0,AAPL,XNAS,2026-04-10T00:00:00+0000
259.37,261.12,256.07,260.49,26229474.0,261.12,256.07,260.49,259.0,28121574.0,1.0,0.0,AAPL,XNAS,2026-04-09T00:00:00+0000
258.51,259.7499,256.53,258.9,39655304.0,259.7499,256.53,258.9,258.45,41032772.0,1.0,0.0,AAPL,XNAS,2026-04-08T00:00:00+0000
256.155,256.19,245.7,253.5,60820961.0,256.2,245.7,253.5,256.155,62148008.0,1.0,0.0,AAPL,XNAS,2026-04-07T00:00:00+0000
256.9625,262.16,256.48,258.86,29319825.0,262.16,256.46,258.86,256.51,29329911.0,1.0,0.0,AAPL,XNAS,2026-04-06T00:00:00+0000
254.2,256.13,250.65,255.92,31289400.0,256.13,250.65,255.92,254.2,31289369.0,1.0,0.0,AAPL,XNAS,2026-04-02T00:00:00+0000
254.3,256.18,253.33,255.63,35595400.0,256.18,253.33,255.63,254.08,40059432.0,1.0,0.0,AAPL,XNAS,2026-04-01T00:00:00+0000
247.89,255.48,247.101,253.79,48770963.0,255.48,247.101,253.79,247.91,49598091.0,1.0,0.0,AAPL,XNAS,2026-03-31T00:00:00+0000
249.995,250.84,245.51,246.63,38248670.0,250.87,245.51,246.63,250.07,39446213.0,1.0,0.0,AAPL,XNAS,2026-03-30T00:00:00+0000
253.91,255.493,248.07,248.8,46525772.0,255.493,248.07,248.8,253.9,47899998.0,1.0,0.0,AAPL,XNAS,2026-03-27T00:00:00+0000
251.995,257.0,250.775,252.89,41331888.0,257.0,250.77,252.89,252.115,41796650.0,1.0,0.0,AAPL,XNAS,2026-03-26T00:00:00+0000
254.1,255.0,251.6,252.62,28436700.0,255.0,251.6,252.62,254.095,28476668.0,1.0,0.0,AAPL,XNAS,2026-03-25T00:00:00+0000
250.49,254.825,249.55,251.64,27882961.0,254.825,249.55,251.64,250.35,45152288.0,1.0,0.0,AAPL,XNAS,2026-03-24T00:00:00+0000
